,labels,directory
16599,2,data\CMATERdb\IsolatedTrain\2\bcc000057.bmp
16598,2,data\CMATERdb\IsolatedTrain\2\bcc000056.bmp
16597,2,data\CMATERdb\IsolatedTrain\2\bcc000055.bmp
16592,2,data\CMATERdb\IsolatedTrain\2\bcc000050.bmp
16594,2,data\CMATERdb\IsolatedTrain\2\bcc000052.bmp
16593,2,data\CMATERdb\IsolatedTrain\2\bcc000051.bmp
16591,2,data\CMATERdb\IsolatedTrain\2\bcc000049.bmp
16590,2,data\CMATERdb\IsolatedTrain\2\bcc000048.bmp
16589,2,data\CMATERdb\IsolatedTrain\2\bcc000047.bmp
16588,2,data\CMATERdb\IsolatedTrain\2\bcc000046.bmp
16604,2,data\CMATERdb\IsolatedTrain\2\bcc000062.bmp
16587,2,data\CMATERdb\IsolatedTrain\2\bcc000045.bmp
16586,2,data\CMATERdb\IsolatedTrain\2\bcc000044.bmp
16595,2,data\CMATERdb\IsolatedTrain\2\bcc000053.bmp
16605,2,data\CMATERdb\IsolatedTrain\2\bcc000063.bmp
16616,2,data\CMATERdb\IsolatedTrain\2\bcc000074.bmp
16607,2,data\CMATERdb\IsolatedTrain\2\bcc000065.bmp
16625,2,data\CMATERdb\IsolatedTrain\2\bcc000083.bmp
16585,2,data\CMATERdb\IsolatedTrain\2\bcc000043.bmp
16624,2,data\CMATERdb\IsolatedTrain\2\bcc000082.bmp
16623,2,data\CMATERdb\IsolatedTrain\2\bcc000081.bmp
16622,2,data\CMATERdb\IsolatedTrain\2\bcc000080.bmp
16621,2,data\CMATERdb\IsolatedTrain\2\bcc000079.bmp
16620,2,data\CMATERdb\IsolatedTrain\2\bcc000078.bmp
16619,2,data\CMATERdb\IsolatedTrain\2\bcc000077.bmp
16606,2,data\CMATERdb\IsolatedTrain\2\bcc000064.bmp
16618,2,data\CMATERdb\IsolatedTrain\2\bcc000076.bmp
16615,2,data\CMATERdb\IsolatedTrain\2\bcc000073.bmp
16614,2,data\CMATERdb\IsolatedTrain\2\bcc000072.bmp
16613,2,data\CMATERdb\IsolatedTrain\2\bcc000071.bmp
16612,2,data\CMATERdb\IsolatedTrain\2\bcc000070.bmp
16611,2,data\CMATERdb\IsolatedTrain\2\bcc000069.bmp
16610,2,data\CMATERdb\IsolatedTrain\2\bcc000068.bmp
16609,2,data\CMATERdb\IsolatedTrain\2\bcc000067.bmp
16608,2,data\CMATERdb\IsolatedTrain\2\bcc000066.bmp
16617,2,data\CMATERdb\IsolatedTrain\2\bcc000075.bmp
16584,2,data\CMATERdb\IsolatedTrain\2\bcc000042.bmp
16559,2,data\CMATERdb\IsolatedTrain\2\bcc000017.bmp
16582,2,data\CMATERdb\IsolatedTrain\2\bcc000040.bmp
16558,2,data\CMATERdb\IsolatedTrain\2\bcc000016.bmp
16557,2,data\CMATERdb\IsolatedTrain\2\bcc000015.bmp
16556,2,data\CMATERdb\IsolatedTrain\2\bcc000014.bmp
16555,2,data\CMATERdb\IsolatedTrain\2\bcc000013.bmp
16554,2,data\CMATERdb\IsolatedTrain\2\bcc000012.bmp
16553,2,data\CMATERdb\IsolatedTrain\2\bcc000011.bmp
16552,2,data\CMATERdb\IsolatedTrain\2\bcc000010.bmp
16551,2,data\CMATERdb\IsolatedTrain\2\bcc000009.bmp
16560,2,data\CMATERdb\IsolatedTrain\2\bcc000018.bmp
16550,2,data\CMATERdb\IsolatedTrain\2\bcc000008.bmp
16548,2,data\CMATERdb\IsolatedTrain\2\bcc000006.bmp
16547,2,data\CMATERdb\IsolatedTrain\2\bcc000005.bmp
16546,2,data\CMATERdb\IsolatedTrain\2\bcc000004.bmp
16545,2,data\CMATERdb\IsolatedTrain\2\bcc000003.bmp
16544,2,data\CMATERdb\IsolatedTrain\2\bcc000002.bmp
16543,2,data\CMATERdb\IsolatedTrain\2\bcc000001.bmp
16542,2,data\CMATERdb\IsolatedTrain\2\bcc000000.bmp
16626,2,data\CMATERdb\IsolatedTrain\2\bcc000084.bmp
16549,2,data\CMATERdb\IsolatedTrain\2\bcc000007.bmp
16583,2,data\CMATERdb\IsolatedTrain\2\bcc000041.bmp
16561,2,data\CMATERdb\IsolatedTrain\2\bcc000019.bmp
16563,2,data\CMATERdb\IsolatedTrain\2\bcc000021.bmp
16581,2,data\CMATERdb\IsolatedTrain\2\bcc000039.bmp
16580,2,data\CMATERdb\IsolatedTrain\2\bcc000038.bmp
16579,2,data\CMATERdb\IsolatedTrain\2\bcc000037.bmp
16578,2,data\CMATERdb\IsolatedTrain\2\bcc000036.bmp
16577,2,data\CMATERdb\IsolatedTrain\2\bcc000035.bmp
16576,2,data\CMATERdb\IsolatedTrain\2\bcc000034.bmp
16575,2,data\CMATERdb\IsolatedTrain\2\bcc000033.bmp
16574,2,data\CMATERdb\IsolatedTrain\2\bcc000032.bmp
16562,2,data\CMATERdb\IsolatedTrain\2\bcc000020.bmp
16573,2,data\CMATERdb\IsolatedTrain\2\bcc000031.bmp
16571,2,data\CMATERdb\IsolatedTrain\2\bcc000029.bmp
16570,2,data\CMATERdb\IsolatedTrain\2\bcc000028.bmp
16569,2,data\CMATERdb\IsolatedTrain\2\bcc000027.bmp
16568,2,data\CMATERdb\IsolatedTrain\2\bcc000026.bmp
16567,2,data\CMATERdb\IsolatedTrain\2\bcc000025.bmp
16566,2,data\CMATERdb\IsolatedTrain\2\bcc000024.bmp
16565,2,data\CMATERdb\IsolatedTrain\2\bcc000023.bmp
16564,2,data\CMATERdb\IsolatedTrain\2\bcc000022.bmp
16572,2,data\CMATERdb\IsolatedTrain\2\bcc000030.bmp
16627,2,data\CMATERdb\IsolatedTrain\2\bcc000085.bmp
16683,2,data\CMATERdb\IsolatedTrain\2\bcc000141.bmp
16629,2,data\CMATERdb\IsolatedTrain\2\bcc000087.bmp
16691,2,data\CMATERdb\IsolatedTrain\2\bcc000149.bmp
16690,2,data\CMATERdb\IsolatedTrain\2\bcc000148.bmp
16689,2,data\CMATERdb\IsolatedTrain\2\bcc000147.bmp
16688,2,data\CMATERdb\IsolatedTrain\2\bcc000146.bmp
16687,2,data\CMATERdb\IsolatedTrain\2\bcc000145.bmp
16686,2,data\CMATERdb\IsolatedTrain\2\bcc000144.bmp
16685,2,data\CMATERdb\IsolatedTrain\2\bcc000143.bmp
16684,2,data\CMATERdb\IsolatedTrain\2\bcc000142.bmp
16682,2,data\CMATERdb\IsolatedTrain\2\bcc000140.bmp
16681,2,data\CMATERdb\IsolatedTrain\2\bcc000139.bmp
16680,2,data\CMATERdb\IsolatedTrain\2\bcc000138.bmp
16679,2,data\CMATERdb\IsolatedTrain\2\bcc000137.bmp
16678,2,data\CMATERdb\IsolatedTrain\2\bcc000136.bmp
16677,2,data\CMATERdb\IsolatedTrain\2\bcc000135.bmp
16676,2,data\CMATERdb\IsolatedTrain\2\bcc000134.bmp
16675,2,data\CMATERdb\IsolatedTrain\2\bcc000133.bmp
16674,2,data\CMATERdb\IsolatedTrain\2\bcc000132.bmp
16692,2,data\CMATERdb\IsolatedTrain\2\bcc000150.bmp
16693,2,data\CMATERdb\IsolatedTrain\2\bcc000151.bmp
16694,2,data\CMATERdb\IsolatedTrain\2\bcc000152.bmp
16696,2,data\CMATERdb\IsolatedTrain\2\bcc000154.bmp
16628,2,data\CMATERdb\IsolatedTrain\2\bcc000086.bmp
16713,2,data\CMATERdb\IsolatedTrain\2\bcc000171.bmp
16712,2,data\CMATERdb\IsolatedTrain\2\bcc000170.bmp
16711,2,data\CMATERdb\IsolatedTrain\2\bcc000169.bmp
16710,2,data\CMATERdb\IsolatedTrain\2\bcc000168.bmp
16709,2,data\CMATERdb\IsolatedTrain\2\bcc000167.bmp
16708,2,data\CMATERdb\IsolatedTrain\2\bcc000166.bmp
16707,2,data\CMATERdb\IsolatedTrain\2\bcc000165.bmp
16673,2,data\CMATERdb\IsolatedTrain\2\bcc000131.bmp
16706,2,data\CMATERdb\IsolatedTrain\2\bcc000164.bmp
16704,2,data\CMATERdb\IsolatedTrain\2\bcc000162.bmp
16703,2,data\CMATERdb\IsolatedTrain\2\bcc000161.bmp
16702,2,data\CMATERdb\IsolatedTrain\2\bcc000160.bmp
16701,2,data\CMATERdb\IsolatedTrain\2\bcc000159.bmp
16700,2,data\CMATERdb\IsolatedTrain\2\bcc000158.bmp
16699,2,data\CMATERdb\IsolatedTrain\2\bcc000157.bmp
16698,2,data\CMATERdb\IsolatedTrain\2\bcc000156.bmp
16697,2,data\CMATERdb\IsolatedTrain\2\bcc000155.bmp
16705,2,data\CMATERdb\IsolatedTrain\2\bcc000163.bmp
16672,2,data\CMATERdb\IsolatedTrain\2\bcc000130.bmp
16695,2,data\CMATERdb\IsolatedTrain\2\bcc000153.bmp
16670,2,data\CMATERdb\IsolatedTrain\2\bcc000128.bmp
16647,2,data\CMATERdb\IsolatedTrain\2\bcc000105.bmp
16646,2,data\CMATERdb\IsolatedTrain\2\bcc000104.bmp
16645,2,data\CMATERdb\IsolatedTrain\2\bcc000103.bmp
16644,2,data\CMATERdb\IsolatedTrain\2\bcc000102.bmp
16643,2,data\CMATERdb\IsolatedTrain\2\bcc000101.bmp
16642,2,data\CMATERdb\IsolatedTrain\2\bcc000100.bmp
16641,2,data\CMATERdb\IsolatedTrain\2\bcc000099.bmp
16639,2,data\CMATERdb\IsolatedTrain\2\bcc000097.bmp
16648,2,data\CMATERdb\IsolatedTrain\2\bcc000106.bmp
16638,2,data\CMATERdb\IsolatedTrain\2\bcc000096.bmp
16636,2,data\CMATERdb\IsolatedTrain\2\bcc000094.bmp
16635,2,data\CMATERdb\IsolatedTrain\2\bcc000093.bmp
16634,2,data\CMATERdb\IsolatedTrain\2\bcc000092.bmp
16633,2,data\CMATERdb\IsolatedTrain\2\bcc000091.bmp
16632,2,data\CMATERdb\IsolatedTrain\2\bcc000090.bmp
16631,2,data\CMATERdb\IsolatedTrain\2\bcc000089.bmp
16671,2,data\CMATERdb\IsolatedTrain\2\bcc000129.bmp
16630,2,data\CMATERdb\IsolatedTrain\2\bcc000088.bmp
16637,2,data\CMATERdb\IsolatedTrain\2\bcc000095.bmp
16649,2,data\CMATERdb\IsolatedTrain\2\bcc000107.bmp
16640,2,data\CMATERdb\IsolatedTrain\2\bcc000098.bmp
16651,2,data\CMATERdb\IsolatedTrain\2\bcc000109.bmp
16669,2,data\CMATERdb\IsolatedTrain\2\bcc000127.bmp
16668,2,data\CMATERdb\IsolatedTrain\2\bcc000126.bmp
16650,2,data\CMATERdb\IsolatedTrain\2\bcc000108.bmp
16667,2,data\CMATERdb\IsolatedTrain\2\bcc000125.bmp
16666,2,data\CMATERdb\IsolatedTrain\2\bcc000124.bmp
16665,2,data\CMATERdb\IsolatedTrain\2\bcc000123.bmp
16664,2,data\CMATERdb\IsolatedTrain\2\bcc000122.bmp
16663,2,data\CMATERdb\IsolatedTrain\2\bcc000121.bmp
16661,2,data\CMATERdb\IsolatedTrain\2\bcc000119.bmp
16660,2,data\CMATERdb\IsolatedTrain\2\bcc000118.bmp
16662,2,data\CMATERdb\IsolatedTrain\2\bcc000120.bmp
16659,2,data\CMATERdb\IsolatedTrain\2\bcc000117.bmp
16658,2,data\CMATERdb\IsolatedTrain\2\bcc000116.bmp
16657,2,data\CMATERdb\IsolatedTrain\2\bcc000115.bmp
16656,2,data\CMATERdb\IsolatedTrain\2\bcc000114.bmp
16655,2,data\CMATERdb\IsolatedTrain\2\bcc000113.bmp
16654,2,data\CMATERdb\IsolatedTrain\2\bcc000112.bmp
16653,2,data\CMATERdb\IsolatedTrain\2\bcc000111.bmp
16652,2,data\CMATERdb\IsolatedTrain\2\bcc000110.bmp
18843,3,data\CMATERdb\IsolatedTrain\3\bcc000127.bmp
18849,3,data\CMATERdb\IsolatedTrain\3\bcc000133.bmp
18842,3,data\CMATERdb\IsolatedTrain\3\bcc000126.bmp
18848,3,data\CMATERdb\IsolatedTrain\3\bcc000132.bmp
18845,3,data\CMATERdb\IsolatedTrain\3\bcc000129.bmp
18846,3,data\CMATERdb\IsolatedTrain\3\bcc000130.bmp
18844,3,data\CMATERdb\IsolatedTrain\3\bcc000128.bmp
18850,3,data\CMATERdb\IsolatedTrain\3\bcc000134.bmp
18847,3,data\CMATERdb\IsolatedTrain\3\bcc000131.bmp
18851,3,data\CMATERdb\IsolatedTrain\3\bcc000135.bmp
18859,3,data\CMATERdb\IsolatedTrain\3\bcc000143.bmp
18853,3,data\CMATERdb\IsolatedTrain\3\bcc000137.bmp
18854,3,data\CMATERdb\IsolatedTrain\3\bcc000138.bmp
18855,3,data\CMATERdb\IsolatedTrain\3\bcc000139.bmp
18856,3,data\CMATERdb\IsolatedTrain\3\bcc000140.bmp
18857,3,data\CMATERdb\IsolatedTrain\3\bcc000141.bmp
18858,3,data\CMATERdb\IsolatedTrain\3\bcc000142.bmp
18860,3,data\CMATERdb\IsolatedTrain\3\bcc000144.bmp
18862,3,data\CMATERdb\IsolatedTrain\3\bcc000146.bmp
18841,3,data\CMATERdb\IsolatedTrain\3\bcc000125.bmp
18861,3,data\CMATERdb\IsolatedTrain\3\bcc000145.bmp
18852,3,data\CMATERdb\IsolatedTrain\3\bcc000136.bmp
18840,3,data\CMATERdb\IsolatedTrain\3\bcc000124.bmp
18820,3,data\CMATERdb\IsolatedTrain\3\bcc000104.bmp
