,labels,directory
4113,2,data\CMATERdb\IsolatedTest\2\bcc000020.bmp
4128,2,data\CMATERdb\IsolatedTest\2\bcc000035.bmp
4115,2,data\CMATERdb\IsolatedTest\2\bcc000022.bmp
4114,2,data\CMATERdb\IsolatedTest\2\bcc000021.bmp
4135,2,data\CMATERdb\IsolatedTest\2\bcc000042.bmp
4134,2,data\CMATERdb\IsolatedTest\2\bcc000041.bmp
4133,2,data\CMATERdb\IsolatedTest\2\bcc000040.bmp
4132,2,data\CMATERdb\IsolatedTest\2\bcc000039.bmp
4131,2,data\CMATERdb\IsolatedTest\2\bcc000038.bmp
4129,2,data\CMATERdb\IsolatedTest\2\bcc000036.bmp
4127,2,data\CMATERdb\IsolatedTest\2\bcc000034.bmp
4126,2,data\CMATERdb\IsolatedTest\2\bcc000033.bmp
4130,2,data\CMATERdb\IsolatedTest\2\bcc000037.bmp
4124,2,data\CMATERdb\IsolatedTest\2\bcc000031.bmp
4123,2,data\CMATERdb\IsolatedTest\2\bcc000030.bmp
4122,2,data\CMATERdb\IsolatedTest\2\bcc000029.bmp
4121,2,data\CMATERdb\IsolatedTest\2\bcc000028.bmp
4120,2,data\CMATERdb\IsolatedTest\2\bcc000027.bmp
4119,2,data\CMATERdb\IsolatedTest\2\bcc000026.bmp
4118,2,data\CMATERdb\IsolatedTest\2\bcc000025.bmp
4117,2,data\CMATERdb\IsolatedTest\2\bcc000024.bmp
4125,2,data\CMATERdb\IsolatedTest\2\bcc000032.bmp
4116,2,data\CMATERdb\IsolatedTest\2\bcc000023.bmp
4666,3,data\CMATERdb\IsolatedTest\3\bcc000034.bmp
4665,3,data\CMATERdb\IsolatedTest\3\bcc000033.bmp
4664,3,data\CMATERdb\IsolatedTest\3\bcc000032.bmp
4663,3,data\CMATERdb\IsolatedTest\3\bcc000031.bmp
4659,3,data\CMATERdb\IsolatedTest\3\bcc000027.bmp
4661,3,data\CMATERdb\IsolatedTest\3\bcc000029.bmp
4660,3,data\CMATERdb\IsolatedTest\3\bcc000028.bmp
4667,3,data\CMATERdb\IsolatedTest\3\bcc000035.bmp
4658,3,data\CMATERdb\IsolatedTest\3\bcc000026.bmp
4662,3,data\CMATERdb\IsolatedTest\3\bcc000030.bmp
4668,3,data\CMATERdb\IsolatedTest\3\bcc000036.bmp
4679,3,data\CMATERdb\IsolatedTest\3\bcc000047.bmp
4670,3,data\CMATERdb\IsolatedTest\3\bcc000038.bmp
4671,3,data\CMATERdb\IsolatedTest\3\bcc000039.bmp
4672,3,data\CMATERdb\IsolatedTest\3\bcc000040.bmp
4673,3,data\CMATERdb\IsolatedTest\3\bcc000041.bmp
4674,3,data\CMATERdb\IsolatedTest\3\bcc000042.bmp
4675,3,data\CMATERdb\IsolatedTest\3\bcc000043.bmp
4677,3,data\CMATERdb\IsolatedTest\3\bcc000045.bmp
4678,3,data\CMATERdb\IsolatedTest\3\bcc000046.bmp
4680,3,data\CMATERdb\IsolatedTest\3\bcc000048.bmp
4657,3,data\CMATERdb\IsolatedTest\3\bcc000025.bmp
4669,3,data\CMATERdb\IsolatedTest\3\bcc000037.bmp
4656,3,data\CMATERdb\IsolatedTest\3\bcc000024.bmp
4676,3,data\CMATERdb\IsolatedTest\3\bcc000044.bmp
4654,3,data\CMATERdb\IsolatedTest\3\bcc000022.bmp
4632,3,data\CMATERdb\IsolatedTest\3\bcc000000.bmp
4633,3,data\CMATERdb\IsolatedTest\3\bcc000001.bmp
4634,3,data\CMATERdb\IsolatedTest\3\bcc000002.bmp
4635,3,data\CMATERdb\IsolatedTest\3\bcc000003.bmp
4655,3,data\CMATERdb\IsolatedTest\3\bcc000023.bmp
4636,3,data\CMATERdb\IsolatedTest\3\bcc000004.bmp
4638,3,data\CMATERdb\IsolatedTest\3\bcc000006.bmp
4639,3,data\CMATERdb\IsolatedTest\3\bcc000007.bmp
4640,3,data\CMATERdb\IsolatedTest\3\bcc000008.bmp
4641,3,data\CMATERdb\IsolatedTest\3\bcc000009.bmp
4642,3,data\CMATERdb\IsolatedTest\3\bcc000010.bmp
4637,3,data\CMATERdb\IsolatedTest\3\bcc000005.bmp
4644,3,data\CMATERdb\IsolatedTest\3\bcc000012.bmp
4645,3,data\CMATERdb\IsolatedTest\3\bcc000013.bmp
4646,3,data\CMATERdb\IsolatedTest\3\bcc000014.bmp
4647,3,data\CMATERdb\IsolatedTest\3\bcc000015.bmp
4648,3,data\CMATERdb\IsolatedTest\3\bcc000016.bmp
4649,3,data\CMATERdb\IsolatedTest\3\bcc000017.bmp
4650,3,data\CMATERdb\IsolatedTest\3\bcc000018.bmp
4651,3,data\CMATERdb\IsolatedTest\3\bcc000019.bmp
4652,3,data\CMATERdb\IsolatedTest\3\bcc000020.bmp
4653,3,data\CMATERdb\IsolatedTest\3\bcc000021.bmp
4643,3,data\CMATERdb\IsolatedTest\3\bcc000011.bmp
5229,4,data\CMATERdb\IsolatedTest\4\bcc000038.bmp
5228,4,data\CMATERdb\IsolatedTest\4\bcc000037.bmp
5227,4,data\CMATERdb\IsolatedTest\4\bcc000036.bmp
5226,4,data\CMATERdb\IsolatedTest\4\bcc000035.bmp
5225,4,data\CMATERdb\IsolatedTest\4\bcc000034.bmp
5220,4,data\CMATERdb\IsolatedTest\4\bcc000029.bmp
5223,4,data\CMATERdb\IsolatedTest\4\bcc000032.bmp
5222,4,data\CMATERdb\IsolatedTest\4\bcc000031.bmp
5221,4,data\CMATERdb\IsolatedTest\4\bcc000030.bmp
5230,4,data\CMATERdb\IsolatedTest\4\bcc000039.bmp
5224,4,data\CMATERdb\IsolatedTest\4\bcc000033.bmp
5231,4,data\CMATERdb\IsolatedTest\4\bcc000040.bmp
5243,4,data\CMATERdb\IsolatedTest\4\bcc000052.bmp
5233,4,data\CMATERdb\IsolatedTest\4\bcc000042.bmp
5234,4,data\CMATERdb\IsolatedTest\4\bcc000043.bmp
5235,4,data\CMATERdb\IsolatedTest\4\bcc000044.bmp
5236,4,data\CMATERdb\IsolatedTest\4\bcc000045.bmp
5237,4,data\CMATERdb\IsolatedTest\4\bcc000046.bmp
5238,4,data\CMATERdb\IsolatedTest\4\bcc000047.bmp
5239,4,data\CMATERdb\IsolatedTest\4\bcc000048.bmp
5240,4,data\CMATERdb\IsolatedTest\4\bcc000049.bmp
5241,4,data\CMATERdb\IsolatedTest\4\bcc000050.bmp
5242,4,data\CMATERdb\IsolatedTest\4\bcc000051.bmp
5219,4,data\CMATERdb\IsolatedTest\4\bcc000028.bmp
5232,4,data\CMATERdb\IsolatedTest\4\bcc000041.bmp
5218,4,data\CMATERdb\IsolatedTest\4\bcc000027.bmp
5217,4,data\CMATERdb\IsolatedTest\4\bcc000026.bmp
5216,4,data\CMATERdb\IsolatedTest\4\bcc000025.bmp
5192,4,data\CMATERdb\IsolatedTest\4\bcc000001.bmp
5193,4,data\CMATERdb\IsolatedTest\4\bcc000002.bmp
5194,4,data\CMATERdb\IsolatedTest\4\bcc000003.bmp
5195,4,data\CMATERdb\IsolatedTest\4\bcc000004.bmp
5196,4,data\CMATERdb\IsolatedTest\4\bcc000005.bmp
5197,4,data\CMATERdb\IsolatedTest\4\bcc000006.bmp
5198,4,data\CMATERdb\IsolatedTest\4\bcc000007.bmp
5199,4,data\CMATERdb\IsolatedTest\4\bcc000008.bmp
5200,4,data\CMATERdb\IsolatedTest\4\bcc000009.bmp
5201,4,data\CMATERdb\IsolatedTest\4\bcc000010.bmp
5202,4,data\CMATERdb\IsolatedTest\4\bcc000011.bmp
5203,4,data\CMATERdb\IsolatedTest\4\bcc000012.bmp
5191,4,data\CMATERdb\IsolatedTest\4\bcc000000.bmp
5205,4,data\CMATERdb\IsolatedTest\4\bcc000014.bmp
5206,4,data\CMATERdb\IsolatedTest\4\bcc000015.bmp
5207,4,data\CMATERdb\IsolatedTest\4\bcc000016.bmp
5208,4,data\CMATERdb\IsolatedTest\4\bcc000017.bmp
5209,4,data\CMATERdb\IsolatedTest\4\bcc000018.bmp
5210,4,data\CMATERdb\IsolatedTest\4\bcc000019.bmp
5211,4,data\CMATERdb\IsolatedTest\4\bcc000020.bmp
5212,4,data\CMATERdb\IsolatedTest\4\bcc000021.bmp
5213,4,data\CMATERdb\IsolatedTest\4\bcc000022.bmp
5214,4,data\CMATERdb\IsolatedTest\4\bcc000023.bmp
5215,4,data\CMATERdb\IsolatedTest\4\bcc000024.bmp
5204,4,data\CMATERdb\IsolatedTest\4\bcc000013.bmp
5782,5,data\CMATERdb\IsolatedTest\5\bcc000036.bmp
5781,5,data\CMATERdb\IsolatedTest\5\bcc000035.bmp
5780,5,data\CMATERdb\IsolatedTest\5\bcc000034.bmp
5779,5,data\CMATERdb\IsolatedTest\5\bcc000033.bmp
5774,5,data\CMATERdb\IsolatedTest\5\bcc000028.bmp
5777,5,data\CMATERdb\IsolatedTest\5\bcc000031.bmp
5776,5,data\CMATERdb\IsolatedTest\5\bcc000030.bmp
5775,5,data\CMATERdb\IsolatedTest\5\bcc000029.bmp
5783,5,data\CMATERdb\IsolatedTest\5\bcc000037.bmp
5778,5,data\CMATERdb\IsolatedTest\5\bcc000032.bmp
5784,5,data\CMATERdb\IsolatedTest\5\bcc000038.bmp
5790,5,data\CMATERdb\IsolatedTest\5\bcc000044.bmp
5786,5,data\CMATERdb\IsolatedTest\5\bcc000040.bmp
5787,5,data\CMATERdb\IsolatedTest\5\bcc000041.bmp
5788,5,data\CMATERdb\IsolatedTest\5\bcc000042.bmp
5789,5,data\CMATERdb\IsolatedTest\5\bcc000043.bmp
5791,5,data\CMATERdb\IsolatedTest\5\bcc000045.bmp
5792,5,data\CMATERdb\IsolatedTest\5\bcc000046.bmp
5793,5,data\CMATERdb\IsolatedTest\5\bcc000047.bmp
5796,5,data\CMATERdb\IsolatedTest\5\bcc000050.bmp
5794,5,data\CMATERdb\IsolatedTest\5\bcc000048.bmp
5795,5,data\CMATERdb\IsolatedTest\5\bcc000049.bmp
5773,5,data\CMATERdb\IsolatedTest\5\bcc000027.bmp
5785,5,data\CMATERdb\IsolatedTest\5\bcc000039.bmp
5772,5,data\CMATERdb\IsolatedTest\5\bcc000026.bmp
5748,5,data\CMATERdb\IsolatedTest\5\bcc000002.bmp
5770,5,data\CMATERdb\IsolatedTest\5\bcc000024.bmp
5771,5,data\CMATERdb\IsolatedTest\5\bcc000025.bmp
5746,5,data\CMATERdb\IsolatedTest\5\bcc000000.bmp
5747,5,data\CMATERdb\IsolatedTest\5\bcc000001.bmp
5749,5,data\CMATERdb\IsolatedTest\5\bcc000003.bmp
5750,5,data\CMATERdb\IsolatedTest\5\bcc000004.bmp
5752,5,data\CMATERdb\IsolatedTest\5\bcc000006.bmp
5753,5,data\CMATERdb\IsolatedTest\5\bcc000007.bmp
5754,5,data\CMATERdb\IsolatedTest\5\bcc000008.bmp
5755,5,data\CMATERdb\IsolatedTest\5\bcc000009.bmp
5756,5,data\CMATERdb\IsolatedTest\5\bcc000010.bmp
5757,5,data\CMATERdb\IsolatedTest\5\bcc000011.bmp
5751,5,data\CMATERdb\IsolatedTest\5\bcc000005.bmp
5759,5,data\CMATERdb\IsolatedTest\5\bcc000013.bmp
5769,5,data\CMATERdb\IsolatedTest\5\bcc000023.bmp
5758,5,data\CMATERdb\IsolatedTest\5\bcc000012.bmp
5768,5,data\CMATERdb\IsolatedTest\5\bcc000022.bmp
5767,5,data\CMATERdb\IsolatedTest\5\bcc000021.bmp
5765,5,data\CMATERdb\IsolatedTest\5\bcc000019.bmp
5766,5,data\CMATERdb\IsolatedTest\5\bcc000020.bmp
5764,5,data\CMATERdb\IsolatedTest\5\bcc000018.bmp
5763,5,data\CMATERdb\IsolatedTest\5\bcc000017.bmp
5762,5,data\CMATERdb\IsolatedTest\5\bcc000016.bmp
5761,5,data\CMATERdb\IsolatedTest\5\bcc000015.bmp
5760,5,data\CMATERdb\IsolatedTest\5\bcc000014.bmp
6291,6,data\CMATERdb\IsolatedTest\6\bcc000022.bmp
6288,6,data\CMATERdb\IsolatedTest\6\bcc000019.bmp
6289,6,data\CMATERdb\IsolatedTest\6\bcc000020.bmp
6290,6,data\CMATERdb\IsolatedTest\6\bcc000021.bmp
6287,6,data\CMATERdb\IsolatedTest\6\bcc000018.bmp
6292,6,data\CMATERdb\IsolatedTest\6\bcc000023.bmp
6297,6,data\CMATERdb\IsolatedTest\6\bcc000028.bmp
6294,6,data\CMATERdb\IsolatedTest\6\bcc000025.bmp
6295,6,data\CMATERdb\IsolatedTest\6\bcc000026.bmp
6296,6,data\CMATERdb\IsolatedTest\6\bcc000027.bmp
6298,6,data\CMATERdb\IsolatedTest\6\bcc000029.bmp
6299,6,data\CMATERdb\IsolatedTest\6\bcc000030.bmp
6286,6,data\CMATERdb\IsolatedTest\6\bcc000017.bmp
6293,6,data\CMATERdb\IsolatedTest\6\bcc000024.bmp
6285,6,data\CMATERdb\IsolatedTest\6\bcc000016.bmp
6272,6,data\CMATERdb\IsolatedTest\6\bcc000003.bmp
6283,6,data\CMATERdb\IsolatedTest\6\bcc000014.bmp
6282,6,data\CMATERdb\IsolatedTest\6\bcc000013.bmp
6281,6,data\CMATERdb\IsolatedTest\6\bcc000012.bmp
6280,6,data\CMATERdb\IsolatedTest\6\bcc000011.bmp
6279,6,data\CMATERdb\IsolatedTest\6\bcc000010.bmp
6278,6,data\CMATERdb\IsolatedTest\6\bcc000009.bmp
6277,6,data\CMATERdb\IsolatedTest\6\bcc000008.bmp
6276,6,data\CMATERdb\IsolatedTest\6\bcc000007.bmp
6275,6,data\CMATERdb\IsolatedTest\6\bcc000006.bmp
6273,6,data\CMATERdb\IsolatedTest\6\bcc000004.bmp
6271,6,data\CMATERdb\IsolatedTest\6\bcc000002.bmp
6270,6,data\CMATERdb\IsolatedTest\6\bcc000001.bmp
6269,6,data\CMATERdb\IsolatedTest\6\bcc000000.bmp
6300,6,data\CMATERdb\IsolatedTest\6\bcc000031.bmp
6284,6,data\CMATERdb\IsolatedTest\6\bcc000015.bmp
6301,6,data\CMATERdb\IsolatedTest\6\bcc000032.bmp
6274,6,data\CMATERdb\IsolatedTest\6\bcc000005.bmp
6303,6,data\CMATERdb\IsolatedTest\6\bcc000034.bmp
6317,6,data\CMATERdb\IsolatedTest\6\bcc000048.bmp
6315,6,data\CMATERdb\IsolatedTest\6\bcc000046.bmp
6314,6,data\CMATERdb\IsolatedTest\6\bcc000045.bmp
6313,6,data\CMATERdb\IsolatedTest\6\bcc000044.bmp
6312,6,data\CMATERdb\IsolatedTest\6\bcc000043.bmp
6311,6,data\CMATERdb\IsolatedTest\6\bcc000042.bmp
6316,6,data\CMATERdb\IsolatedTest\6\bcc000047.bmp
6309,6,data\CMATERdb\IsolatedTest\6\bcc000040.bmp
6310,6,data\CMATERdb\IsolatedTest\6\bcc000041.bmp
6304,6,data\CMATERdb\IsolatedTest\6\bcc000035.bmp
6305,6,data\CMATERdb\IsolatedTest\6\bcc000036.bmp
6302,6,data\CMATERdb\IsolatedTest\6\bcc000033.bmp
6307,6,data\CMATERdb\IsolatedTest\6\bcc000038.bmp
6308,6,data\CMATERdb\IsolatedTest\6\bcc000039.bmp
6306,6,data\CMATERdb\IsolatedTest\6\bcc000037.bmp
6880,7,data\CMATERdb\IsolatedTest\7\bcc000038.bmp
6869,7,data\CMATERdb\IsolatedTest\7\bcc000027.bmp
6870,7,data\CMATERdb\IsolatedTest\7\bcc000028.bmp
6873,7,data\CMATERdb\IsolatedTest\7\bcc000031.bmp
6874,7,data\CMATERdb\IsolatedTest\7\bcc000032.bmp
6875,7,data\CMATERdb\IsolatedTest\7\bcc000033.bmp
6876,7,data\CMATERdb\IsolatedTest\7\bcc000034.bmp
6877,7,data\CMATERdb\IsolatedTest\7\bcc000035.bmp
6878,7,data\CMATERdb\IsolatedTest\7\bcc000036.bmp
6879,7,data\CMATERdb\IsolatedTest\7\bcc000037.bmp
6872,7,data\CMATERdb\IsolatedTest\7\bcc000030.bmp
6887,7,data\CMATERdb\IsolatedTest\7\bcc000045.bmp
6882,7,data\CMATERdb\IsolatedTest\7\bcc000040.bmp
6883,7,data\CMATERdb\IsolatedTest\7\bcc000041.bmp
6884,7,data\CMATERdb\IsolatedTest\7\bcc000042.bmp
6885,7,data\CMATERdb\IsolatedTest\7\bcc000043.bmp
6886,7,data\CMATERdb\IsolatedTest\7\bcc000044.bmp
6868,7,data\CMATERdb\IsolatedTest\7\bcc000026.bmp
6888,7,data\CMATERdb\IsolatedTest\7\bcc000046.bmp
6889,7,data\CMATERdb\IsolatedTest\7\bcc000047.bmp
6890,7,data\CMATERdb\IsolatedTest\7\bcc000048.bmp
6891,7,data\CMATERdb\IsolatedTest\7\bcc000049.bmp
6892,7,data\CMATERdb\IsolatedTest\7\bcc000050.bmp
6881,7,data\CMATERdb\IsolatedTest\7\bcc000039.bmp
6867,7,data\CMATERdb\IsolatedTest\7\bcc000025.bmp
6871,7,data\CMATERdb\IsolatedTest\7\bcc000029.bmp
6865,7,data\CMATERdb\IsolatedTest\7\bcc000023.bmp
6866,7,data\CMATERdb\IsolatedTest\7\bcc000024.bmp
6843,7,data\CMATERdb\IsolatedTest\7\bcc000001.bmp
6844,7,data\CMATERdb\IsolatedTest\7\bcc000002.bmp
6845,7,data\CMATERdb\IsolatedTest\7\bcc000003.bmp
6846,7,data\CMATERdb\IsolatedTest\7\bcc000004.bmp
6847,7,data\CMATERdb\IsolatedTest\7\bcc000005.bmp
6848,7,data\CMATERdb\IsolatedTest\7\bcc000006.bmp
6849,7,data\CMATERdb\IsolatedTest\7\bcc000007.bmp
6850,7,data\CMATERdb\IsolatedTest\7\bcc000008.bmp
6851,7,data\CMATERdb\IsolatedTest\7\bcc000009.bmp
6852,7,data\CMATERdb\IsolatedTest\7\bcc000010.bmp
6853,7,data\CMATERdb\IsolatedTest\7\bcc000011.bmp
6842,7,data\CMATERdb\IsolatedTest\7\bcc000000.bmp
6855,7,data\CMATERdb\IsolatedTest\7\bcc000013.bmp
6854,7,data\CMATERdb\IsolatedTest\7\bcc000012.bmp
6863,7,data\CMATERdb\IsolatedTest\7\bcc000021.bmp
6862,7,data\CMATERdb\IsolatedTest\7\bcc000020.bmp
6861,7,data\CMATERdb\IsolatedTest\7\bcc000019.bmp
6864,7,data\CMATERdb\IsolatedTest\7\bcc000022.bmp
6859,7,data\CMATERdb\IsolatedTest\7\bcc000017.bmp
6858,7,data\CMATERdb\IsolatedTest\7\bcc000016.bmp
6857,7,data\CMATERdb\IsolatedTest\7\bcc000015.bmp
6856,7,data\CMATERdb\IsolatedTest\7\bcc000014.bmp
6860,7,data\CMATERdb\IsolatedTest\7\bcc000018.bmp
7431,8,data\CMATERdb\IsolatedTest\8\bcc000027.bmp
7440,8,data\CMATERdb\IsolatedTest\8\bcc000036.bmp
7432,8,data\CMATERdb\IsolatedTest\8\bcc000028.bmp
7433,8,data\CMATERdb\IsolatedTest\8\bcc000029.bmp
7434,8,data\CMATERdb\IsolatedTest\8\bcc000030.bmp
7435,8,data\CMATERdb\IsolatedTest\8\bcc000031.bmp
7436,8,data\CMATERdb\IsolatedTest\8\bcc000032.bmp
7437,8,data\CMATERdb\IsolatedTest\8\bcc000033.bmp
7438,8,data\CMATERdb\IsolatedTest\8\bcc000034.bmp
7439,8,data\CMATERdb\IsolatedTest\8\bcc000035.bmp
7441,8,data\CMATERdb\IsolatedTest\8\bcc000037.bmp
7446,8,data\CMATERdb\IsolatedTest\8\bcc000042.bmp
7443,8,data\CMATERdb\IsolatedTest\8\bcc000039.bmp
7444,8,data\CMATERdb\IsolatedTest\8\bcc000040.bmp
7445,8,data\CMATERdb\IsolatedTest\8\bcc000041.bmp
7447,8,data\CMATERdb\IsolatedTest\8\bcc000043.bmp
7448,8,data\CMATERdb\IsolatedTest\8\bcc000044.bmp
7449,8,data\CMATERdb\IsolatedTest\8\bcc000045.bmp
7450,8,data\CMATERdb\IsolatedTest\8\bcc000046.bmp
7451,8,data\CMATERdb\IsolatedTest\8\bcc000047.bmp
7452,8,data\CMATERdb\IsolatedTest\8\bcc000048.bmp
7430,8,data\CMATERdb\IsolatedTest\8\bcc000026.bmp
7442,8,data\CMATERdb\IsolatedTest\8\bcc000038.bmp
7429,8,data\CMATERdb\IsolatedTest\8\bcc000025.bmp
7408,8,data\CMATERdb\IsolatedTest\8\bcc000004.bmp
7427,8,data\CMATERdb\IsolatedTest\8\bcc000023.bmp
7428,8,data\CMATERdb\IsolatedTest\8\bcc000024.bmp
7404,8,data\CMATERdb\IsolatedTest\8\bcc000000.bmp
7405,8,data\CMATERdb\IsolatedTest\8\bcc000001.bmp
7406,8,data\CMATERdb\IsolatedTest\8\bcc000002.bmp
7407,8,data\CMATERdb\IsolatedTest\8\bcc000003.bmp
7410,8,data\CMATERdb\IsolatedTest\8\bcc000006.bmp
7411,8,data\CMATERdb\IsolatedTest\8\bcc000007.bmp
7412,8,data\CMATERdb\IsolatedTest\8\bcc000008.bmp
7413,8,data\CMATERdb\IsolatedTest\8\bcc000009.bmp
7414,8,data\CMATERdb\IsolatedTest\8\bcc000010.bmp
7415,8,data\CMATERdb\IsolatedTest\8\bcc000011.bmp
7409,8,data\CMATERdb\IsolatedTest\8\bcc000005.bmp
7417,8,data\CMATERdb\IsolatedTest\8\bcc000013.bmp
7418,8,data\CMATERdb\IsolatedTest\8\bcc000014.bmp
7419,8,data\CMATERdb\IsolatedTest\8\bcc000015.bmp
7420,8,data\CMATERdb\IsolatedTest\8\bcc000016.bmp
7421,8,data\CMATERdb\IsolatedTest\8\bcc000017.bmp
7422,8,data\CMATERdb\IsolatedTest\8\bcc000018.bmp
7423,8,data\CMATERdb\IsolatedTest\8\bcc000019.bmp
7424,8,data\CMATERdb\IsolatedTest\8\bcc000020.bmp
7425,8,data\CMATERdb\IsolatedTest\8\bcc000021.bmp
7416,8,data\CMATERdb\IsolatedTest\8\bcc000012.bmp
7426,8,data\CMATERdb\IsolatedTest\8\bcc000022.bmp
7986,9,data\CMATERdb\IsolatedTest\9\2\bcc000016.bmp
7985,9,data\CMATERdb\IsolatedTest\9\2\bcc000015.bmp
7984,9,data\CMATERdb\IsolatedTest\9\2\bcc000014.bmp
7983,9,data\CMATERdb\IsolatedTest\9\2\bcc000013.bmp
7982,9,data\CMATERdb\IsolatedTest\9\2\bcc000012.bmp
7977,9,data\CMATERdb\IsolatedTest\9\2\bcc000007.bmp
7980,9,data\CMATERdb\IsolatedTest\9\2\bcc000010.bmp
7979,9,data\CMATERdb\IsolatedTest\9\2\bcc000009.bmp
7978,9,data\CMATERdb\IsolatedTest\9\2\bcc000008.bmp
7976,9,data\CMATERdb\IsolatedTest\9\2\bcc000006.bmp
7987,9,data\CMATERdb\IsolatedTest\9\2\bcc000017.bmp
7981,9,data\CMATERdb\IsolatedTest\9\2\bcc000011.bmp
7988,9,data\CMATERdb\IsolatedTest\9\2\bcc000018.bmp
8000,9,data\CMATERdb\IsolatedTest\9\2\bcc000030.bmp
7990,9,data\CMATERdb\IsolatedTest\9\2\bcc000020.bmp
